operator_id,op_jobKind,op_qualifications_count,op_effectiveTime,op_popularity_score,op_has_CP,op_has_CN,workload_pressure_index,daily_perc_ortho,avg_patient_priority,daily_lifter_ratio,target_assN,target_assO,target_assCP,target_assMAC,target_assignments
524,0,5,480,8,0,0,0.8865248226950354,0.4090909090909091,9.25,0.06363636363636363,1,5,0,2,8
212,0,6,300,5,1,0,0.8865248226950354,0.4090909090909091,8.6,0.06363636363636363,1,3,0,1,5
32,1,3,140,4,0,1,0.8222222222222222,0.38461538461538464,9.666666666666666,0.07692307692307693,0,2,1,0,3
44,0,3,340,1,0,1,0.8222222222222222,0.38461538461538464,5.2,0.07692307692307693,3,2,0,0,5
48,0,3,330,3,0,1,0.8222222222222222,0.38461538461538464,5.714285714285714,0.07692307692307693,4,3,0,0,7
40,0,4,340,2,0,1,0.8222222222222222,0.38461538461538464,5.6,0.07692307692307693,3,2,0,0,5
435,0,3,340,7,0,1,0.8222222222222222,0.38461538461538464,6.0,0.07692307692307693,3,3,0,0,6
34,1,3,180,2,0,1,0.8222222222222222,0.38461538461538464,6.0,0.07692307692307693,1,1,0,0,2
35,0,3,270,4,0,1,0.8222222222222222,0.38461538461538464,5.0,0.07692307692307693,3,1,0,0,4
410,1,2,200,4,0,0,0.8222222222222222,0.38461538461538464,5.333333333333333,0.07692307692307693,2,1,0,0,3
38,0,4,280,4,0,1,0.8222222222222222,0.38461538461538464,4.5,0.07692307692307693,3,1,0,0,4
39,1,3,200,3,0,1,0.8222222222222222,0.38461538461538464,4.0,0.07692307692307693,3,0,0,0,3
46,0,3,350,4,1,0,0.8222222222222222,0.38461538461538464,5.333333333333333,0.07692307692307693,2,1,0,0,3
485,0,3,340,3,1,0,0.8222222222222222,0.38461538461538464,10.666666666666666,0.07692307692307693,1,1,4,0,6
31,1,3,200,3,0,1,0.8222222222222222,0.38461538461538464,5.333333333333333,0.07692307692307693,2,1,0,0,3
230,0,6,432,7,1,0,0.8865248226950354,0.4090909090909091,10.857142857142858,0.06363636363636363,2,1,0,4,7
50,0,3,340,5,0,1,0.8222222222222222,0.38461538461538464,5.6,0.07692307692307693,3,2,0,0,5
464,1,6,216,4,1,0,0.8865248226950354,0.4090909090909091,6.5,0.06363636363636363,1,3,0,0,4
228,0,6,432,5,1,0,0.8865248226950354,0.4090909090909091,11.5,0.06363636363636363,0,3,0,2,6
215,0,6,300,5,0,1,0.8865248226950354,0.4090909090909091,15.0,0.06363636363636363,0,0,0,5,6
216,0,6,300,5,1,0,0.8865248226950354,0.4090909090909091,6.8,0.06363636363636363,1,4,0,0,5
217,0,7,300,3,1,0,0.8865248226950354,0.4090909090909091,9.25,0.06363636363636363,0,3,0,1,4
210,0,6,402,4,1,0,0.8865248226950354,0.4090909090909091,7.0,0.06363636363636363,1,3,0,0,4
218,0,6,432,5,1,0,0.8865248226950354,0.4090909090909091,6.857142857142857,0.06363636363636363,2,5,0,0,7
220,0,6,432,7,1,0,0.8865248226950354,0.4090909090909091,13.0,0.06363636363636363,0,2,0,5,7
214,0,6,432,7,0,1,0.8865248226950354,0.4090909090909091,10.428571428571429,0.06363636363636363,1,3,0,2,7
227,0,6,480,6,1,0,0.8865248226950354,0.4090909090909091,5.5,0.06363636363636363,4,4,0,0,8
223,0,6,432,7,1,0,0.8865248226950354,0.4090909090909091,15.0,0.06363636363636363,0,0,0,7,7
313,1,6,216,4,1,0,0.8865248226950354,0.4090909090909091,6.0,0.06363636363636363,2,2,0,0,4
225,0,6,402,4,1,0,0.8865248226950354,0.4090909090909091,6.0,0.06363636363636363,2,2,0,0,4
29,1,3,200,3,0,1,0.8222222222222222,0.38461538461538464,4.666666666666667,0.07692307692307693,2,1,0,0,3
213,0,6,480,5,1,0,0.8865248226950354,0.4090909090909091,15.0,0.06363636363636363,0,0,0,2,2
232,0,6,432,7,1,0,0.8865248226950354,0.4090909090909091,15.0,0.06363636363636363,0,0,0,8,8
224,0,6,432,7,1,0,0.8865248226950354,0.4090909090909091,11.142857142857142,0.06363636363636363,1,2,0,3,7
